coincidence_sum,duration,similarity,stations,time,trace_ids
3.0,3.375,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:51:47.987700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,4.050000190734863,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:55:53.512700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.374999761581421,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:57:46.137700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,1.8499999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:58:35.137700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.1500000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:58:48.737700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.2250003814697266,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:59:57.312700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,1.2000000476837158,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:04:33.912700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,1.7000000476837158,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:06:00.987700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.950000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:07:23.662700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.5249998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:09:44.787700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,1.9749999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:12:06.762700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,1.3999998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:14:14.762700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.3249998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:15:46.462700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.200000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:16:37.062700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.5,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:18:21.187700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.0250003337860107,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:18:40.012700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.249999761581421,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:19:55.562700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,4.625,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:20:58.737700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,1.8999998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:22:26.687700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,3.6999998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:25:03.612700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.125,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:25:32.062700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,4.224999904632568,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:26:44.287700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:28:32.062700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.8249998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:28:59.687700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.049999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:30:06.337700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,1.875000238418579,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:30:22.812700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:31:28.812700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.875,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:31:45.062700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.4000000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:32:51.487700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.125000238418579,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:33:23.012700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.75,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:35:12.137700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,1.9750001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:36:21.587700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,3.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:37:36.787700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,1.8499999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:38:57.737700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.5500001907348633,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:41:04.087700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,1.3249998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:41:10.487700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.1499998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:41:31.262700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.124999761581421,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:42:32.962700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,1.9750001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:42:46.362700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,3.5999999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:45:16.687700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,4.125,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:46:00.262700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.624999761581421,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:46:24.687700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:47:18.962700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,3.5999999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:47:36.337700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,3.1499998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:47:53.262700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.299999952316284,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:49:04.337700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,2.825000047683716,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:51:27.612700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.950000286102295,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:52:33.312700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,2.5250000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T01:53:58.737700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
