start_time,stop_time,cluster
2007-01-05 08:21:56.637700,2007-01-05 08:21:59.287700,10
2007-01-05 08:24:22.812700,2007-01-05 08:24:25.537700,10
2007-01-05 08:27:12.587700,2007-01-05 08:27:14.762700,10
2007-01-05 08:28:04.837700,2007-01-05 08:28:07.487700,10
2007-01-05 08:29:58.662700,2007-01-05 08:30:01.262700,10
2007-01-05 08:40:58.637700,2007-01-05 08:41:01.112700,10
2007-01-05 08:59:09.487700,2007-01-05 08:59:11.087700,10
2007-01-05 09:16:02.687700,2007-01-05 09:16:05.187700,10
2007-01-05 09:22:07.362700,2007-01-05 09:22:09.012700,10
2007-01-05 09:42:51.687700,2007-01-05 09:42:54.787700,10
2007-01-05 09:47:39.462700,2007-01-05 09:47:41.537700,10
2007-01-05 09:49:07.012700,2007-01-05 09:49:09.162700,10
2007-01-05 10:06:48.362700,2007-01-05 10:06:51.962700,10
2007-01-05 10:08:25.962700,2007-01-05 10:08:28.137700,10
2007-01-05 10:09:39.487700,2007-01-05 10:09:41.587700,10
2007-01-05 10:11:41.462700,2007-01-05 10:11:44.087700,10
2007-01-05 10:22:36.837700,2007-01-05 10:22:39.337700,10
2007-01-05 10:37:39.812700,2007-01-05 10:37:41.937700,10
2007-01-05 11:01:23.337700,2007-01-05 11:01:26.487700,10
2007-01-05 11:12:45.462700,2007-01-05 11:12:47.937700,10
2007-01-05 11:24:32.237700,2007-01-05 11:24:34.262700,10
2007-01-05 11:40:57.687700,2007-01-05 11:41:01.137700,10
2007-01-05 11:41:43.637700,2007-01-05 11:41:47.562700,10
2007-01-05 12:04:41.237700,2007-01-05 12:04:43.587700,10
2007-01-05 12:30:49.437700,2007-01-05 12:30:51.362700,10
2007-01-05 12:43:25.312700,2007-01-05 12:43:27.137700,10
2007-01-05 12:43:47.462700,2007-01-05 12:43:49.162700,10
2007-01-05 12:58:23.962700,2007-01-05 12:58:25.662700,10
2007-01-05 13:13:02.962700,2007-01-05 13:13:04.687700,10
2007-01-05 13:13:33.787700,2007-01-05 13:13:35.587700,10
2007-01-05 13:33:40.812700,2007-01-05 13:33:43.462700,10
2007-01-05 13:36:06.937700,2007-01-05 13:36:09.512700,10
2007-01-05 13:36:30.712700,2007-01-05 13:36:32.487700,10
2007-01-05 13:36:56.937700,2007-01-05 13:37:00.212700,10
2007-01-05 13:37:39.237700,2007-01-05 13:37:42.087700,10
2007-01-05 13:48:56.312700,2007-01-05 13:48:59.237700,10
2007-01-05 13:53:53.212700,2007-01-05 13:53:56.662700,10
2007-01-05 13:55:08.837700,2007-01-05 13:55:11.112700,10
2007-01-05 14:36:34.987700,2007-01-05 14:36:38.137700,10
2007-01-05 14:40:35.262700,2007-01-05 14:40:37.162700,10
2007-01-05 14:45:25.137700,2007-01-05 14:45:28.337700,10
2007-01-05 14:46:16.212700,2007-01-05 14:46:18.762700,10
2007-01-05 14:52:41.912700,2007-01-05 14:52:44.312700,10
2007-01-05 15:03:10.762700,2007-01-05 15:03:13.812700,10
2007-01-05 15:06:07.312700,2007-01-05 15:06:09.437700,10
2007-01-05 15:11:48.537700,2007-01-05 15:11:51.662700,10
2007-01-05 15:15:47.687700,2007-01-05 15:15:49.712700,10
2007-01-05 15:17:49.712700,2007-01-05 15:17:52.062700,10
2007-01-05 15:20:50.762700,2007-01-05 15:20:52.962700,10
2007-01-05 15:27:30.712700,2007-01-05 15:27:32.937700,10
2007-01-05 15:34:49.287700,2007-01-05 15:34:51.612700,10
2007-01-05 15:36:25.087700,2007-01-05 15:36:27.462700,10
2007-01-05 16:00:24.687700,2007-01-05 16:00:26.937700,10
2007-01-05 16:13:34.287700,2007-01-05 16:13:36.337700,10
2007-01-05 16:15:53.587700,2007-01-05 16:15:55.362700,10
2007-01-05 16:31:20.837700,2007-01-05 16:31:22.312700,10
2007-01-05 16:51:54.737700,2007-01-05 16:51:57.837700,10
2007-01-05 17:07:57.437700,2007-01-05 17:07:59.487700,10
2007-01-05 17:21:32.937700,2007-01-05 17:21:35.412700,10
2007-01-05 17:29:08.987700,2007-01-05 17:29:10.887700,10
2007-01-05 17:51:22.862700,2007-01-05 17:51:25.687700,10
2007-01-05 17:52:00.412700,2007-01-05 17:52:02.962700,10
2007-01-05 17:53:10.637700,2007-01-05 17:53:13.512700,10
2007-01-05 18:05:23.587700,2007-01-05 18:05:25.662700,10
2007-01-05 18:16:14.487700,2007-01-05 18:16:16.662700,10
2007-01-05 18:32:57.487700,2007-01-05 18:32:59.637700,10
2007-01-05 18:42:51.662700,2007-01-05 18:42:54.562700,10
2007-01-05 18:46:43.962700,2007-01-05 18:46:47.362700,10
2007-01-05 18:49:47.912700,2007-01-05 18:49:50.812700,10
2007-01-05 18:53:06.787700,2007-01-05 18:53:10.262700,10
